id,kod,ad,tip
85,BRSAN,Borusan Mannesmann Boru San. ve Tic. A.Ş.,Hisse
87,BRYAT,Borusan Yatırım Ve Pazarlama A.Ş.,Hisse
88,BSOKE,Batısöke Söke Çimento Sanayii T.A.Ş,Hisse
90,BTCIM,Batıçim Batı Anadolu Çimento Sanayii A.Ş.,Hisse
91,BUCIM,Bursa Çimento Fabrikası A.Ş.,Hisse
93,BURCE,Burçelik Bursa Çelik Döküm Sanayii A.Ş.,Hisse
884,BURVA,Burçelik Vana Sanayi ve Ticaret AŞ,Hisse
74412,CANTE,ÇAN2 TERMİK A.Ş.,Hisse
1335,CCOLA,Coca Cola İçecek A.Ş.,Hisse
98,CELHA,Çelik Halat Ve Tel Sanayii A.Ş.,Hisse
2224,CEMAS,Çemaş Döküm San. A.Ş.,Hisse
99,CEMTS,Çemtaş Çelik Makina Sanayi Ve Ticaret A.Ş.,Hisse
64732,CEOEM,CEO EVENT MEDYA A.Ş.,Hisse
110,CIMSA,Çimsa Çimento Sanayi Ve Ticaret A.Ş.,Hisse
112,CLEBI,Çelebi Hava Servisi A.Ş.,Hisse
114,CMBTN,Çimbeton HazırBeton Ve Prefabrik Yapı Elemanları S,Hisse
115,CMENT,Çimentaş İzmir Çimento Fabrikası T.A.Ş.,Hisse
80863,CONSE,CONSUS ENERJİ,Hisse
92,COSMO,Cosmos Yatırım Holding A.Ş.,Hisse
537,CRDFA,Creditwest Faktoring A.Ş.,Hisse
9222,CRFSA,Carrefoursa Carrefour Sabancı Ticaret Merkezi A.Ş.,Hisse
9318,CUSAN,Çuhadaroğlu Metal Sanayi ve Pazarlama A.Ş.,Hisse
515,DAGHL,Dagi Yatırım Holding A.Ş.,Hisse
2658,DAGI,Dagi Giyim Sanayi ve Ticaret A.Ş.,Hisse
79539,DAPGM,DAP GAYRİMENKUL,Hisse
129,DARDL,Dardanel Önentaş Gıda Sanayi A.Ş.,Hisse
4039,DENGE,Denge Yatırım Holding A.Ş.,Hisse
73970,DERHL,DERLÜKS YATIRIM HOLDİNG A.Ş.,Hisse
137,DERIM,Derimod Konfeksiyon Ayakkabı Deri San.Ve Tic.A.Ş.,Hisse
847,DESA,Desa Deri Sanayi ve Ticaret A.Ş.,Hisse
2342,DESPC,Despec Bilgisayar Pazarlama ve Ticaret A.Ş.,Hisse
138,DEVA,Deva Holding A.Ş.,Hisse
1274,DGATE,Datagate Bilgisayar Malzemeleri Ticaret A.Ş.,Hisse
234,DGGYO,Doğuş Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
78911,DGNMO,DOGANLAR MOBILYA,Hisse
4079,DIRIT,Diriteks Diriliş Tekstil Sanayi ve Ticaret A.Ş.,Hisse
141,DITAS,Ditas Doğan Yedek Parça İmalat Ve Teknik A.Ş.,Hisse
55170,DJIST,DJ ISTANBUL T20,Hisse
144,DMSAS,Demisaş Döküm Emaye Mamülleri Sanayi A.Ş.,Hisse
71278,DNISI,DİNAMİK ISI,Hisse
905,DOAS,Doğuş Otomotiv Servis ve Ticaret A.Ş.,Hisse
146,DOBUR,Doğan Burda Dergi Yayıncılık ve Pazarlama A.Ş.,Hisse
2340,DOCO,DO & CO Aktiengesellschaft,Hisse
147,DOGUB,Doğusan Boru Sanayii Ve Ticaret A.Ş.,Hisse
148,DOHOL,Doğan Sirketler Grubu Holding A.Ş.,Hisse
56403,DOKTA,DOKTAS DOKÜMCÜLÜK,Hisse
150,DURDO,Duran Doğan Basım ve Ambalaj San. A.Ş.,Hisse
153,DYOBY,Dyo Boya Fabrikaları Sanayi ve Ticaret A.Ş.,Hisse
145,DZGYO,Deniz Gayrimenkul Yatırım Ortaklığı A.Ş.,Hisse
159,ECILC,EİS Eczacıbaşı İlaç Sınai ve Finansal Yatırımlar S,Hisse
161,ECZYT,Eczacıbaşı Yatırım Holding Ortaklığı A.Ş.,Hisse
75680,EDATA,E-DATA  TEKNOLOJİ,Hisse
75353,EDATAHE,E-Data Teknoloji Pazarlama A.Ş.,Hisse
